"tanggal","pm10","so2","co","o3","no2","max","critical","categori","lokasi_spku"
"1/27/2018","27","54","19","63","6","63","o3","SEDANG","DKI5"
"1/28/2018","34","55","20","52","6","55","so2","SEDANG","DKI4"
"1/29/2018","22","54","18","39","7","54","so2","SEDANG","DKI4"
"1/30/2018","27","41","22","41","7","41","so2","BAIK","DKI5"
"1/31/2018","28","54","21","58","12","58","o3","SEDANG","DKI5"
"1/7/2018","96","28","27","205","20","205","o3","SANGAT TIDAK SEHAT","DKI5"
"2/7/2018","79","29","28","142","20","142","o3","TIDAK SEHAT","DKI5"
"3/7/2018","79","29","23","166","16","166","o3","TIDAK SEHAT","DKI2"
"4/7/2018","104","31","24","209","19","209","o3","SANGAT TIDAK SEHAT","DKI2"
"5/7/2018","63","29","16","123","13","123","o3","TIDAK SEHAT","DKI5"
"6/7/2018","74","31","16","113","19","113","o3","TIDAK SEHAT","DKI5"
"7/7/2018","95","32","32","104","24","104","o3","TIDAK SEHAT","DKI5"
"8/7/2018","95","29","32","111","22","111","o3","TIDAK SEHAT","DKI2"
"9/7/2018","69","29","17","116","17","116","o3","TIDAK SEHAT","DKI5"
"10/7/2018","87","29","19","124","16","124","o3","TIDAK SEHAT","DKI2"
"11/7/2018","73","32","17","129","20","129","o3","TIDAK SEHAT","DKI2"
"12/7/2018","74","32","16","117","18","117","o3","TIDAK SEHAT","DKI5"
"7/13/2018","80","30","17","107","18","107","o3","TIDAK SEHAT","DKI2"
"7/14/2018","84","33","19","117","19","117","o3","TIDAK SEHAT","DKI2"
"7/15/2018","63","29","14","129","11","129","o3","TIDAK SEHAT","DKI2"
"7/16/2018","61","33","14","222","18","222","o3","SANGAT TIDAK SEHAT","DKI5"
"7/17/2018","81","30","20","205","19","205","o3","SANGAT TIDAK SEHAT","DKI5"
"7/18/2018","88","29","25","208","20","208","o3","SANGAT TIDAK SEHAT","DKI5"
"7/19/2018","82","30","19","188","19","188","o3","TIDAK SEHAT","DKI5"
"7/20/2018","79","30","16","113","18","113","o3","TIDAK SEHAT","DKI5"
"7/21/2018","74","32","14","151","16","151","o3","TIDAK SEHAT","DKI5"
"7/22/2018","77","29","22","166","15","166","o3","TIDAK SEHAT","DKI5"
"7/23/2018","63","25","23","191","22","191","o3","TIDAK SEHAT","DKI5"
"7/24/2018","92","32","23","184","22","184","o3","TIDAK SEHAT","DKI5"
"7/25/2018","75","29","23","153","17","153","o3","TIDAK SEHAT","DKI5"
"7/26/2018","78","33","22","168","20","168","o3","TIDAK SEHAT","DKI5"
"7/27/2018","86","31","19","197","18","197","o3","TIDAK SEHAT","DKI5"
"7/28/2018","92","32","31","234","20","234","o3","SANGAT TIDAK SEHAT","DKI5"
"7/29/2018","77","30","23","202","20","202","o3","SANGAT TIDAK SEHAT","DKI5"
"7/30/2018","92","31","23","174","27","174","o3","TIDAK SEHAT","DKI5"
"7/31/2018","79","29","22","156","21","156","o3","TIDAK SEHAT","DKI5"
"1/6/2018","75","27","30","115","15","115","o3","TIDAK SEHAT","DKI5"
"2/6/2018","78","26","14","86","18","86","o3","SEDANG","DKI5"
"3/6/2018","82","26","16","145","17","145","o3","TIDAK SEHAT","DKI5"
"4/6/2018","73","27","11","125","19","125","o3","TIDAK SEHAT","DKI5"
"5/6/2018","69","26","13","146","14","146","o3","TIDAK SEHAT","DKI5"
"6/6/2018","78","26","16","133","13","133","o3","TIDAK SEHAT","DKI5"
"7/6/2018","79","25","21","179","18","179","o3","TIDAK SEHAT","DKI5"
"8/6/2018","68","27","16","162","17","162","o3","TIDAK SEHAT","DKI5"
"9/6/2018","100","27","39","167","22","167","o3","TIDAK SEHAT","DKI5"
"10/6/2018","75","27","28","203","17","203","o3","SANGAT TIDAK SEHAT","DKI2"
"11/6/2018","74","27","14","169","14","169","o3","TIDAK SEHAT","DKI2"
"12/6/2018","67","26","18","161","13","161","o3","TIDAK SEHAT","DKI2"
"6/13/2018","64","25","30","163","16","163","o3","TIDAK SEHAT","DKI5"
"6/14/2018","56","25","18","144","7","144","o3","TIDAK SEHAT","DKI5"
"6/15/2018","60","26","21","161","8","161","o3","TIDAK SEHAT","DKI2"
"6/16/2018","61","37","31","139","17","139","o3","TIDAK SEHAT","DKI2"
"6/17/2018","49","27","11","88","8","88","o3","SEDANG","DKI5"
"6/18/2018","51","27","10","75","10","75","o3","SEDANG","DKI5"
"6/19/2018","60","26","13","97","10","97","o3","SEDANG","DKI5"
"6/20/2018","73","26","16","86","10","86","o3","SEDANG","DKI5"
"6/21/2018","51","27","11","70","5","70","o3","SEDANG","DKI5"
"6/22/2018","66","28","17","94","13","94","o3","SEDANG","DKI5"
"6/23/2018","81","27","14","77","10","81","pm10","SEDANG","DKI4"
"6/24/2018","50","25","15","110","10","110","o3","TIDAK SEHAT","DKI5"
"6/25/2018","35","25","14","100","11","100","o3","SEDANG","DKI5"
"6/26/2018","56","26","43","107","23","107","o3","TIDAK SEHAT","DKI2"
"6/27/2018","60","26","23","136","19","136","o3","TIDAK SEHAT","DKI5"
"6/28/2018","69","27","24","146","10","146","o3","TIDAK SEHAT","DKI5"
"6/29/2018","73","28","18","213","20","213","o3","SANGAT TIDAK SEHAT","DKI5"
"6/30/2018","67","30","17","193","15","193","o3","TIDAK SEHAT","DKI2"
"1/3/2018","72","24","40","126","19","126","o3","TIDAK SEHAT","DKI5"
"2/3/2018","51","29","34","146","17","146","o3","TIDAK SEHAT","DKI2"
"3/3/2018","62","30","37","109","18","109","o3","TIDAK SEHAT","DKI5"
"4/3/2018","60","30","64","194","19","194","o3","TIDAK SEHAT","DKI5"
"5/3/2018","61","23","48","79","20","79","o3","SEDANG","DKI5"
"6/3/2018","64","28","30","103","16","103","o3","TIDAK SEHAT","DKI3"
"7/3/2018","66","26","48","76","21","76","o3","SEDANG","DKI3"
"8/3/2018","55","29","47","107","22","107","o3","TIDAK SEHAT","DKI5"
"9/3/2018","59","30","59","81","27","81","o3","SEDANG","DKI5"
"10/3/2018","60","25","27","54","12","60","pm10","SEDANG","DKI3"
"11/3/2018","56","25","18","63","10","63","o3","SEDANG","DKI5"
"12/3/2018","39","24","20","46","9","46","o3","BAIK","DKI5"
"3/13/2018","49","28","20","61","8","61","o3","SEDANG","DKI3"
"3/14/2018","62","31","20","89","11","89","o3","SEDANG","DKI3"
"3/15/2018","68","37","24","136","30","136","o3","TIDAK SEHAT","DKI2"
"3/16/2018","75","30","20","191","15","191","o3","TIDAK SEHAT","DKI5"
"3/17/2018","71","32","24","155","20","155","o3","TIDAK SEHAT","DKI5"
"3/18/2018","72","31","54","195","14","195","o3","TIDAK SEHAT","DKI5"
"3/19/2018","50","27","21","156","15","156","o3","TIDAK SEHAT","DKI5"
"3/20/2018","51","29","23","202","22","202","o3","SANGAT TIDAK SEHAT","DKI5"
"3/21/2018","62","25","31","87","14","87","o3","SEDANG","DKI2"
"3/22/2018","30","25","18","51","9","51","o3","SEDANG","DKI3"
"3/23/2018","75","44","49","94","21","94","o3","SEDANG","DKI5"
"3/24/2018","66","30","23","55","17","66","pm10","SEDANG","DKI1"
"3/25/2018","36","24","16","64","19","64","o3","SEDANG","DKI2"
"3/26/2018","51","27","24","90","19","90","o3","SEDANG","DKI2"
"3/27/2018","41","24","20","94","7","94","o3","SEDANG","DKI2"
"3/28/2018","75","31","42","195","26","195","o3","TIDAK SEHAT","DKI2"
"3/29/2018","71","34","26","129","19","129","o3","TIDAK SEHAT","DKI2"
